genome	kingdom	phylum	class	order	family	genus	species
633697.SAMN02256545	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	specI_v3_04302
633807.SAMN06245872	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81852 Enterococcaceae	2737 Vagococcus	specI_v3_11641
633813.SAMN04488087	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	1100069 Bacteroidetes Order II. Incertae sedis	563843 Rhodothermaceae	29548 Rhodothermus	specI_v3_11642
634113.SAMN04338047	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903414 Morganellaceae	637 Arsenophonus	specI_v3_11643
634177.SAMD00060987	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	1434011 Komagataeibacter	specI_v3_11644
634430.SAMN04488241	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	specI_v3_11645
634436.SAMN05216361	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	72275 Alteromonadaceae	249523 Aestuariibacter	specI_v3_11646
634452.SAMD00060943	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	434 Acetobacter	specI_v3_00820
634497.SAMN02602960	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	2235 Halobacteriales	1963268 Haloarculaceae	2237 Haloarcula	specI_v3_03374
634498.SAMN02603710	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	specI_v3_11647
634500.SAMEA2272131	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	551 Erwinia	specI_v3_06247
634504.SAMN02603206	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	772 Bartonellaceae	773 Bartonella	specI_v3_04355
634771.SAMN04488128	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	79328 Chitinophaga	specI_v3_11648
634994.SAMN00008833	2 Bacteria	32066 Fusobacteria	203490 Fusobacteriia	203491 Fusobacteriales	1129771 Leptotrichiaceae	32067 Leptotrichia	specI_v3_02298
635013.SAMN02598533	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186807 Peptococcaceae	278993 Thermincola	specI_v3_06145
636.SAMN03579666	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903412 Hafniaceae	635 Edwardsiella	specI_v3_00911
63737.SAMN02598449	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	specI_v3_11649
637679.SAMN04432129	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	362534 Kordiimonadales	1331809 Kordiimonadaceae	288021 Kordiimonas	specI_v3_06401
637905.SAMD00060963	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	267890 Shewanellaceae	22 Shewanella	specI_v3_06080
637910.SAMEA2272524	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	544 Citrobacter	specI_v3_00100
637971.SAMN03734960	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	specI_v3_04420
638301.SAMN00139322	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	117563 Granulicatella	specI_v3_04782
638302.SAMN00189217	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843491 Selenomonadaceae	970 Selenomonas	specI_v3_06403
638303.SAMN02598512	2 Bacteria	200783 Aquificae	187857 Aquificae	32069 Aquificales	64898 Aquificaceae	75905 Thermocrinis	specI_v3_11650
639004.SAMN04488239	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	97050 Ruegeria	specI_v3_11651
639030.SAMN02951928	2 Bacteria	57723 Acidobacteria	204432 Acidobacteriia	204433 Acidobacteriales	204434 Acidobacteriaceae	NA Acidobacteriaceae gen. incertae sedis	specI_v3_11652
639282.SAMD00060965	2 Bacteria	200930 Deferribacteres	68337 Deferribacteres	191393 Deferribacterales	191394 Deferribacteraceae	53572 Deferribacter	specI_v3_11653
639283.SAMN02598514	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	335928 Xanthobacteraceae	152053 Starkeya	specI_v3_01156
640081.SAMN02232011	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206389 Rhodocyclales	75787 Rhodocyclaceae	146937 Azospira	specI_v3_00365
640132.SAMN02598516	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	316606 Segniliparaceae	286801 Segniliparus	specI_v3_11654
640205.SAMN05216381	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_00240
640511.SAMN02598517	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	specI_v3_02833
640512.SAMN00008621	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	specI_v3_02845
640513.SAMN02232020	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	547 Enterobacter	specI_v3_00075
640635.SAMN04489806	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	specI_v3_11655
64091.SAMN02604216	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	2235 Halobacteriales	2236 Halobacteriaceae	2239 Halobacterium	specI_v3_06326
640938.SAMEA3872857	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	82802 Trichococcus	specI_v3_04765
640948.SAMN05216238	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	175304 Lentibacillus	specI_v3_11656
641025.SAMN05421507	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85010 Pseudonocardiales	2070 Pseudonocardiaceae	165301 Lentzea	specI_v3_03828
641107.SAMN02256530	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_06229
641147.SAMN02463833	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	71 Simonsiella	specI_v3_11658
641149.SAMN02463843	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	482 Neisseria	specI_v3_01500
641238.SAMN04490244	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	93682 Roseivivax	specI_v3_11659
641491.SAMN02232015	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213115 Desulfovibrionales	194924 Desulfovibrionaceae	872 Desulfovibrio	specI_v3_02871
641524.SAMN02469438	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	563798 Cyclobacteriaceae	68288 Cyclobacterium	specI_v3_11660
641526.SAMN02470013	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	286104 Winogradskyella	specI_v3_06116
